County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
16017,"Bonner County, ID",.,.,.,.,.,.,.,.,.,87
16023,"Butte County, ID",.,.,.,0.07,0.06,.,.,.,.,.
16027,"Canyon County, ID",.,.,.,.,.,.,.,50,13,90
16029,"Caribou County, ID",.,.,.,.,.,31,7,.,.,.
16041,"Franklin County, ID",.,.,.,.,.,.,.,67,10.8,.
16059,"Lemhi County, ID",.,.,.,.,.,.,.,42,12.6,.
16079,"Shoshone County, ID",.,.,.,.,.,.,.,43,14.7,83
17001,"Adams County, IL",.,.,.,0.07,0.063,.,.,.,.,.
17019,"Champaign County, IL",0.3,0.3,.,0.07,0.066,14,3,.,.,.
17023,"Clark County, IL",.,.,.,0.07,0.061,.,.,.,.,.
17031,"Cook County, IL",1.1,0.6,64,0.09,0.071,73,17,.,.,101
17043,"DuPage County, IL",.,.,.,0.08,0.063,.,.,.,.,.
17049,"Effingham County, IL",.,.,.,0.07,0.064,.,.,.,.,.
17065,"Hamilton County, IL",.,.,.,0.07,0.064,.,.,.,.,.
17083,"Jersey County, IL",.,.,.,0.1,0.068,.,.,.,.,.
17085,"Jo Daviess County, IL",.,.,.,0.08,0.065,.,.,.,.,.
17089,"Kane County, IL",.,.,.,0.08,0.064,.,.,.,.,.
17097,"Lake County, IL",.,.,.,0.09,0.072,.,.,.,.,.
17099,"La Salle County, IL",.,.,.,.,.,9,2,.,.,.
17111,"McHenry County, IL",.,.,.,0.08,0.065,.,.,.,.,.
17113,"McLean County, IL",.,.,.,0.08,0.069,.,.,.,.,.
17115,"Macon County, IL",.,.,.,0.07,0.064,33,14,.,.,.
17117,"Macoupin County, IL",.,.,.,0.08,0.065,7,2,.,.,.
17119,"Madison County, IL",.,.,.,0.1,0.075,29,6,.,.,59
17143,"Peoria County, IL",.,.,.,0.07,0.066,32,10,.,.,.
17157,"Randolph County, IL",.,.,.,0.08,0.065,11,3,.,.,.
17161,"Rock Island County, IL",.,.,.,0.07,0.06,.,.,.,.,.
17163,"Saint Clair County, IL",1.5,1,43,0.08,0.066,19,4,.,.,.
17167,"Sangamon County, IL",.,.,.,0.08,0.062,12,2,.,.,.
17179,"Tazewell County, IL",.,.,.,.,.,195,47,.,.,.
17185,"Wabash County, IL",.,.,.,.,.,55,18,.,.,.
17195,"Whiteside County, IL",.,.,.,.,.,.,.,.,.,.
17197,"Will County, IL",.,.,.,0.07,0.061,.,.,.,.,.
17201,"Winnebago County, IL",.,.,.,0.07,0.063,.,.,.,.,.
18003,"Allen County, IN",1.9,1.8,.,0.07,0.062,.,.,24,10,.
18005,"Bartholomew County, IN",.,.,24,0.07,0.066,16,6,.,.,.
18011,"Boone County, IN",.,.,.,0.08,0.068,.,.,.,.,.
18015,"Carroll County, IN",.,.,.,0.07,0.065,.,.,.,.,.
18019,"Clark County, IN",.,.,.,0.08,0.067,.,.,23,11.4,33
18027,"Daviess County, IN",.,.,.,.,.,150,24,.,.,.
18035,"Delaware County, IN",.,.,.,0.07,0.061,.,.,20,9.8,.
18037,"Dubois County, IN",.,.,.,.,.,.,.,22,10.9,30
18039,"Elkhart County, IN",.,.,.,0.06,0.055,.,.,30,13.1,.
18043,"Floyd County, IN",.,.,.,0.09,0.068,30,9,21,10.6,.
18045,"Fountain County, IN",.,.,.,.,.,34,8,.,.,.
18051,"Gibson County, IN",.,.,.,.,.,64,12,.,.,.
18055,"Greene County, IN",.,.,.,0.07,0.068,.,.,22,9.8,.
18057,"Hamilton County, IN",.,.,.,0.07,0.063,.,.,.,.,.
18059,"Hancock County, IN",.,.,.,0.07,0.061,.,.,.,.,.
18063,"Hendricks County, IN",.,.,.,0.07,0.057,.,.,.,.,.
18065,"Henry County, IN",.,.,.,.,.,.,.,21,9.4,.
18069,"Huntington County, IN",.,.,.,0.07,0.059,.,.,.,.,.
18071,"Jackson County, IN",.,.,.,0.08,0.063,.,.,.,.,.
18073,"Jasper County, IN",.,.,.,.,.,40,7,.,.,.
18081,"Johnson County, IN",.,.,.,0.07,0.062,.,.,.,.,.
18083,"Knox County, IN",.,.,.,0.07,0.064,.,.,.,.,.
18089,"Lake County, IN",2.7,1.4,49,0.08,0.064,43,11,31,12.4,121
18091,"LaPorte County, IN",.,.,.,0.09,0.069,15,6,19,9.3,.
18095,"Madison County, IN",.,.,.,0.07,0.063,.,.,23,10.6,.
18097,"Marion County, IN",3.6,2.2,44,0.08,0.069,78,23,32,15.9,56
18105,"Monroe County, IN",.,.,.,.,.,.,.,20,9.5,.
18109,"Morgan County, IN",.,.,.,0.07,0.065,64,15,.,.,.
18123,"Perry County, IN",.,.,.,0.08,0.064,.,.,.,.,.
18125,"Pike County, IN",.,.,.,.,.,169,49,.,.,.
18127,"Porter County, IN",.,.,.,0.09,0.069,36,14,22,10.6,116
18129,"Posey County, IN",.,.,.,0.08,0.065,.,.,.,.,.
18141,"St. Joseph County, IN",.,.,38,0.08,0.065,.,.,43,12.9,.
18145,"Shelby County, IN",.,.,.,0.08,0.066,.,.,.,.,.
18147,"Spencer County, IN",.,.,.,.,.,.,.,21,10.2,.
18157,"Tippecanoe County, IN",.,.,.,.,.,.,.,27,13.7,.
18163,"Vanderburgh County, IN",7,4.8,35,0.08,0.068,19,5,25,11.1,27
18167,"Vigo County, IN",.,.,.,0.07,0.066,103,27,23,10.7,32
18169,"Wabash County, IN",.,.,.,0.08,0.068,.,.,.,.,.
18173,"Warrick County, IN",.,.,.,0.08,0.066,.,.,.,.,.
18177,"Wayne County, IN",.,.,.,.,.,14,9,.,.,.
18183,"Whitley County, IN",.,.,19,.,.,6,2,26,11.5,.
19013,"Black Hawk County, IA",.,.,.,.,.,.,.,18,9.3,58
19017,"Bremer County, IA",.,.,.,0.07,0.06,.,.,.,.,.
19033,"Cerro Gordo County, IA",.,.,.,.,.,.,.,.,.,52
19045,"Clinton County, IA",.,.,.,0.07,0.062,35,12,26,10.7,.
19055,"Delaware County, IA",.,.,.,.,.,.,.,21,8.9,37
19085,"Harrison County, IA",.,.,.,0.07,0.066,.,.,.,.,.
19103,"Johnson County, IA",.,.,.,.,.,.,.,21,9,42
19111,"Lee County, IA",.,.,.,.,.,.,.,25,10.7,.
19113,"Linn County, IA",2.7,1.2,.,0.07,0.06,25,5,24,9.8,55
19137,"Montgomery County, IA",.,.,.,0.07,0.06,.,.,21,8.3,40
19139,"Muscatine County, IA",.,.,.,.,.,179,63,40,11.1,47
19147,"Palo Alto County, IA",.,.,.,0.07,0.066,.,.,21,8,41
19153,"Polk County, IA",1.8,1.3,37,0.07,0.059,1,0,22,9.3,45
19155,"Pottawattamie County, IA",.,.,.,.,.,.,.,22,9.9,60
19163,"Scott County, IA",1.2,0.7,39,0.08,0.06,15,4,26,10.4,154
19169,"Story County, IA",.,.,.,0.07,0.062,.,.,.,.,.
19177,"Van Buren County, IA",.,.,10,0.07,0.063,3,1,18,8.2,37
19181,"Warren County, IA",.,.,.,0.07,0.059,.,.,.,.,.
19193,"Woodbury County, IA",.,.,.,.,.,16,3,22,9.3,44
20057,"Ford County, KS",.,.,.,.,.,.,.,.,.,30
20091,"Johnson County, KS",.,.,.,0.07,0.064,.,.,18,8,.
20103,"Leavenworth County, KS",.,.,.,0.09,0.066,.,.,.,.,.
20107,"Linn County, KS",.,.,10,0.07,0.062,6,2,18,8.3,.
20133,"Neosho County, KS",.,.,.,.,.,.,.,.,.,57
20161,"Riley County, KS",.,.,.,0.07,0.058,.,.,.,.,.
20169,"Saline County, KS",.,.,.,.,.,.,.,.,.,.
20173,"Sedgwick County, KS",1.9,1.3,40,0.08,0.071,.,.,22,9.5,84
20177,"Shawnee County, KS",.,.,.,0.07,0.066,.,.,20,8.4,54
20181,"Sherman County, KS",.,.,.,.,.,.,.,.,.,136
20191,"Sumner County, KS",.,.,24,0.08,0.071,6,5,18,8.1,.
20195,"Trego County, KS",.,.,.,0.08,0.067,3,3,.,.,.
20209,"Wyandotte County, KS",2.2,1.7,47,0.08,0.066,45,10,19,9,57
21013,"Bell County, KY",.,.,.,0.07,0.06,.,.,17,9.1,.
21015,"Boone County, KY",.,.,.,0.07,0.059,.,.,.,.,.
21019,"Boyd County, KY",.,.,30,0.08,0.065,16,5,20,9.1,74
21029,"Bullitt County, KY",.,.,.,0.08,0.064,.,.,.,.,.
21037,"Campbell County, KY",.,.,33,0.08,0.072,71,21,22,9.6,.
21043,"Carter County, KY",.,.,.,0.07,0.062,.,.,14,7.5,17
21047,"Christian County, KY",.,.,.,0.08,0.062,11,3,22,9.8,.
21059,"Daviess County, KY",.,.,31,0.07,0.066,45,10,22,10.2,.
21061,"Edmonson County, KY",0.2,0.3,.,0.07,0.063,11,3,.,.,.
21067,"Fayette County, KY",.,.,44,0.07,0.06,12,3,20,9.4,25
21089,"Greenup County, KY",.,.,.,0.07,0.06,12,5,.,.,.
21091,"Hancock County, KY",.,.,.,0.08,0.063,.,.,.,.,.
21093,"Hardin County, KY",.,.,.,0.07,0.062,.,.,24,10.8,.
21101,"Henderson County, KY",.,.,.,0.08,0.066,28,9,22,10.6,25
21111,"Jefferson County, KY",1.9,1.4,43,0.08,0.064,93,10,24,12.6,36
21113,"Jessamine County, KY",.,.,.,0.07,0.061,18,3,.,.,.
21139,"Livingston County, KY",.,.,.,0.08,0.065,.,.,.,.,.
21145,"McCracken County, KY",.,.,34,0.08,0.064,18,3,23,10.9,32
21151,"Madison County, KY",.,.,.,.,.,.,.,17,8.2,.
21157,"Marshall County, KY",.,.,.,.,.,.,.,.,.,23
